feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,class
1.539044830285346110e+00,1.742055434812471937e+00,-2.017957672076831521e+00,-1.357331354307276916e+00,-8.571876808426048822e-01,6.329496664169539932e-02,9.406855166928695944e-01,-6.896167002404236523e-01,2.767926335702564078e-01,-9.929458970523563632e-01,1.000000000000000000e+00
-8.934923325945509642e-02,-9.515951188690420226e-01,9.002646467005950282e-01,1.452969239866553686e+00,-9.410594029289000018e-01,-1.249195515708260817e+00,-9.876707758095607526e-01,1.279954949251215668e+00,3.879998458019969787e-01,-1.552103409565085634e+00,1.000000000000000000e+00
-7.749888389625293472e-01,-1.559838792280996200e+00,-1.971078598682816319e+00,-1.587622761432803953e-01,-1.532406715926309504e+00,-9.386744897963912315e-01,-1.264534834822125919e+00,7.326427647306250623e-01,1.076473295294936294e+00,-7.815559359668232675e-01,-1.000000000000000000e+00
-8.035571558668240799e-01,1.177257738072800874e+00,1.204978623761691958e+00,1.483540606877740364e+00,1.333401323270628325e+00,1.592256174457537199e+00,-1.107995302743120636e+00,-7.635126608555450334e-01,-7.025555313653295553e-01,-6.328753512395640657e-01,-1.000000000000000000e+00
-1.060672008005477007e+00,4.216367921172400023e-03,1.287017002201217952e+00,4.579954735891041961e-01,1.445871558162413972e+00,-4.276007168361700139e-01,5.890768259023939635e-01,5.759457468790065704e-01,-3.125602611590134194e-01,-9.213939053163433535e-01,1.000000000000000000e+00
-8.321254727711188126e-01,-5.605813288184986476e-01,1.287017002201217952e+00,-9.047664213471994232e-01,1.097054583697126606e+00,-1.601356126908228150e+00,-1.211248486388527779e+00,-1.248269083374473620e+00,1.274295449920161138e-01,-3.404339966448970134e-02,-1.000000000000000000e+00
1.196225027433809096e+00,-1.646730745625560877e+00,1.287017002201217952e+00,-4.037180549711951172e-01,-1.562671296234305673e+00,-1.373297794154629825e+00,6.255133214746289028e-01,1.673982707329521036e-01,-1.553951074280238487e+00,-3.255798221367325884e-01,1.000000000000000000e+00
3.106072034006714944e-01,-8.267558542339209504e-02,-4.240691766803252882e-01,2.380949825214596083e-01,-1.704818610026834325e+00,1.071064956641392563e+00,-1.699225758132043018e-01,-3.898799102265979727e-02,1.319827072917606481e+00,1.614524009073931898e+00,-1.000000000000000000e+00
-7.178522051539397708e-01,1.655163481467907260e+00,3.300178891131989867e-02,7.757505083176860494e-02,-1.341935197566579197e+00,-1.639401400293702071e+00,1.498789148549861228e+00,1.458310505661911449e+00,-9.772360845891099254e-03,-5.190675246518199580e-03,1.000000000000000000e+00
9.676784921994507904e-01,-3.922960875110900053e-02,1.287017002201217952e+00,1.741925371788967558e+00,1.297294185992498239e+00,-1.431796861892594697e+00,-1.488313372131822021e+00,1.009634137371686613e+00,9.638375423856884172e-01,1.580492900243400944e-01,-1.000000000000000000e+00
1.710454731711114729e+00,1.220703714745082324e+00,-6.467447753018960022e-01,-5.953157256963291788e-01,1.230761780916623582e+00,-1.073822164790402711e+00,-8.340931759104486254e-01,-7.370135917606261966e-01,-3.417981274234144773e-01,1.616532911786595916e-01,-1.000000000000000000e+00
1.110520076720924898e+00,-1.690176722297844103e+00,-3.537505665893028728e-01,2.456365498694043914e-01,-9.994622269050672525e-01,-6.107179354545399889e-03,1.668891431541599246e+00,1.183003121825966453e+00,-2.512275641378634017e-01,5.258823338142442072e-01,1.000000000000000000e+00
-1.489196761569898220e+00,5.690140646608451425e-01,-1.267892497772593163e+00,-6.900614693685509782e-02,-2.123773598562576082e-01,7.275830199380863839e-01,-1.625045257075157679e+00,-1.329740508051624026e+00,3.118597192978291854e-01,4.397040711293452864e-01,-1.000000000000000000e+00
1.539044830285346110e+00,-3.433514454570861796e-01,-1.256172729424089418e+00,-2.629905178029903756e-01,5.514637524176552175e-01,1.302655013696268460e+00,1.564584043775193001e+00,1.379331158584059969e+00,-5.797492176761536165e-01,-9.403252291033612487e-01,1.000000000000000000e+00
